disease,input,symptoms
Heart rhythm problems (arrhythmia),"Heart rhythm problems (arrhythmia) are when your heart beats too quickly or too slowly, or your heartbeat is not steady. It might not be serious but see a GP if you think you're having symptoms.
There are different types of heart rhythm problem. Symptoms: - like your heart is pounding, racing, fluttering or missing a beat (heart palpitations) – this may last for a few seconds up to a few minutes - short of breath - lightheaded, dizzy or like you might faint - tired - chest pain or discomfort","- like your heart is pounding, racing, fluttering or missing a beat (heart palpitations) – this may last for a few seconds up to a few minutes - short of breath - lightheaded, dizzy or like you might faint - tired - chest pain or discomfort"
Arthritis,"Arthritis is a common condition that causes pain and inflammation in a joint.
In the UK, millions of people have arthritis or other, similar conditions that affect the joints. Symptoms: - joint pain, tenderness and stiffness - inflammation in and around the joints - restricted movement of the joints - warm red skin over the affected joint - weakness and muscle wasting","- joint pain, tenderness and stiffness - inflammation in and around the joints - restricted movement of the joints - warm red skin over the affected joint - weakness and muscle wasting"
What is an arthroscopy? Arthroscopy,Page last reviewed: 09 June 2022Next review due: 09 June 2025,
Asbestosis,"Asbestosis is a rare but serious lung condition that affects people exposed to asbestos(a building material usedfrom the 1950s to the 1990s).It cannot be cured, buttreatment may improve the symptoms.
You may be able to claim compensation if you get asbestosis. Symptoms: - shortness of breath - persistent cough - wheezing - extreme tiredness (fatigue) - pain in your chest or shoulder - in more advanced cases, clubbed (swollen) fingertips","- shortness of breath - persistent cough - wheezing - extreme tiredness (fatigue) - pain in your chest or shoulder - in more advanced cases, clubbed (swollen) fingertips"
Autism,"This guide can help if you or someone you care about is autistic or might be autistic.
An introduction to what autism is and how it affects people",
Aspergillosis,"Aspergillosis is a condition caused by aspergillus mould. There are several different types of aspergillosis. Most affect the lungs and cause breathing difficulties.
Aspergillosis is usually caused by breathing in tiny bits of mould. Symptoms: - shortness of breath - a cough – you may cough up blood or lumps of mucus - wheezing - a high temperature - losing weight without trying - feeling tired",- shortness of breath - a cough – you may cough up blood or lumps of mucus - wheezing - a high temperature - losing weight without trying - feeling tired
Asthma,"Asthma is a common condition that affects your breathing. It cannot currently be cured, but if it's well treated you should not have problems with symptoms.
The main symptoms of asthma are problems with breathing, such as: Symptoms: - wheezing - coughing - shortness of breath - your chest feeling tight",- wheezing - coughing - shortness of breath - your chest feeling tight
Astigmatism,"Astigmatism is a common eye condition that can cause blurry vision. It's usually treated using glasses or contact lenses.
Astigmatism means your eye is shaped more like a rugby ball than a football, so light is focused at more than 1 place in the eye. Symptoms: - blurred vision - headaches - eye strain – you may notice this after concentrating for a long time, such as when using a computer","- blurred vision - headaches - eye strain – you may notice this after concentrating for a long time, such as when using a computer"
Ataxia,"Ataxia is a term for a group of disorders that affect co-ordination, balance and speech.
Any part of the body can be affected, but people with ataxia often have difficulties with: Symptoms: - problems with balance and co-ordination, often causing wobbliness, clumsiness and frequentfalls - increasingly slurred, slow and unclear speech (dysarthria) - increasing weakness in the legs – many people find walking difficult and need to use a wheelchair after around 10 to 20 years - difficulty swallowing (dysphagia) - abnormal curvature of the spine (scoliosis) - total or partialvision lossandhearing loss - diabetes - thickening of the heart muscles (hypertrophic cardiomyopathy), which can causechest pain,breathlessnessand an irregular heartbeat - loss of sensation in the hands and feet (peripheral neuropathy)","- problems with balance and co-ordination, often causing wobbliness, clumsiness and frequentfalls - increasingly slurred, slow and unclear speech (dysarthria) - increasing weakness in the legs – many people find walking difficult and need to use a wheelchair after around 10 to 20 years - difficulty swallowing (dysphagia) - abnormal curvature of the spine (scoliosis) - total or partialvision lossandhearing loss - diabetes - thickening of the heart muscles (hypertrophic cardiomyopathy), which can causechest pain,breathlessnessand an irregular heartbeat - loss of sensation in the hands and feet (peripheral neuropathy)"
Atherosclerosis,"Atherosclerosis is where your arteries become narrowed, making it difficult for blood to flow through them. It increases your risk of heart attack and stroke.
Lifestyle changes, like stopping smoking, eating healthily and exercising regularly, can help stop atherosclerosis getting worse. Symptoms: - chest pain - pain in your arms and legs, especially when exercising - feeling short of breath - feeling tired all the time - feeling weak - feeling confused","- chest pain - pain in your arms and legs, especially when exercising - feeling short of breath - feeling tired all the time - feeling weak - feeling confused"
